A =;9.083333333333334;;d =;6
B =;29.06451612903226;;a =;0.45527236381809094
kx =;8;;b =;0.059470264867566215
ky =;5;;c =;0.4657671164417791

hx =;0.09090909090909091;;u =;99
hy =;0.010101010101010102;;v =;2877

outer pts =;5948
inner pts =;278875
accuracy =;-6.347852984379965

random points
N;i;j;x[i];y[i];f[i][j]
1;32;1953;2.909090909090909;19.72727272727273;4.692897002546597
2;44;2256;4.0;22.78787878787879;-0.07717020021412316
3;23;28;2.090909090909091;0.2828282828282829;1.3948517730530128
4;47;86;4.2727272727272725;0.8686868686868687;-1.9337706392590603
5;49;356;4.454545454545455;3.5959595959595965;-1.9304947023169792

inner neighboring points
N;i;j;x[i];y[i];f[i][j]
1;1;1;0.09090909090909091;0.010101010101010102;-21.548089847116945
2;1;2;0.09090909090909091;0.020202020202020204;2.6639747496440647
3;1;3;0.09090909090909091;0.030303030303030304;3.2341115544802004
4;1;4;0.09090909090909091;0.04040404040404041;2.9929998528951995
5;1;5;0.09090909090909091;0.05050505050505051;2.868063659679045
6;2;1;0.18181818181818182;0.010101010101010102;-2.6054385792942996
7;2;2;0.18181818181818182;0.020202020202020204;0.547716768881681
8;2;3;0.18181818181818182;0.030303030303030304;-0.9647331291454548
9;2;4;0.18181818181818182;0.04040404040404041;-1.869023117873145
10;2;5;0.18181818181818182;0.05050505050505051;-3.0061985231572774
11;3;1;0.2727272727272727;0.010101010101010102;-11.641823411987145
12;3;2;0.2727272727272727;0.020202020202020204;2.4036748888099417
13;3;3;0.2727272727272727;0.030303030303030304;4.419277884520084
14;3;4;0.2727272727272727;0.04040404040404041;10.410266079372258
15;3;5;0.2727272727272727;0.05050505050505051;6.432341594720668
16;4;1;0.36363636363636365;0.010101010101010102;-2.780478089076947
17;4;2;0.36363636363636365;0.020202020202020204;1.028226192173709
18;4;3;0.36363636363636365;0.030303030303030304;-0.9734597325139144
19;4;4;0.36363636363636365;0.04040404040404041;-1.9631667488226714
20;4;5;0.36363636363636365;0.05050505050505051;-1.4171216469442716
